ticker,groupe,pea
ALKS,USA - Russell2000,0
ALLK,USA - Russell2000,0
ALLT,USA - Russell2000,0
ALNG,USA - Russell2000,0
ALRM,USA - Russell2000,0
ALRS,USA - Russell2000,0
ALSA,USA - Russell2000,0
ALTO,USA - Russell2000,0
ALUR,USA - Russell2000,0
AMBC,USA - Russell2000,0
AMBI,USA - Russell2000,0
AMBO,USA - Russell2000,0
AMCX,USA - Russell2000,0
AMEH,USA - Russell2000,0
AMEQ,USA - Russell2000,0
AMKR,USA - Russell2000,0
AMMO,USA - Russell2000,0
AMNB,USA - Russell2000,0
AMPH,USA - Russell2000,0
AMRK,USA - Russell2000,0
AMRN,USA - Russell2000,0
AMRX,USA - Russell2000,0
AMSC,USA - Russell2000,0
AMSF,USA - Russell2000,0
AMTB,USA - Russell2000,0
AMTX,USA - Russell2000,0
AMWL,USA - Russell2000,0
ANAB,USA - Russell2000,0
ANAT,USA - Russell2000,0
ANCN,USA - Russell2000,0
ANDE,USA - Russell2000,0
ANGI,USA - Russell2000,0
ANIP,USA - Russell2000,0
ANIX,USA - Russell2000,0
ANNX,USA - Russell2000,0
ANPC,USA - Russell2000,0
ANTE,USA - Russell2000,0
AORT,USA - Russell2000,0
APAM,USA - Russell2000,0
APCA,USA - Russell2000,0
APCX,USA - Russell2000,0
APEI,USA - Russell2000,0
APGE,USA - Russell2000,0
APLS,USA - Russell2000,0
APLM,USA - Russell2000,0
APLT,USA - Russell2000,0
APOG,USA - Russell2000,0
APPF,USA - Russell2000,0
APPS,USA - Russell2000,0
APRE,USA - Russell2000,0
ARAV,USA - Russell2000,0
ARCB,USA - Russell2000,0
ARCC,USA - Russell2000,0
ARCO,USA - Russell2000,0
ARCT,USA - Russell2000,0
ARDC,USA - Russell2000,0
ARDX,USA - Russell2000,0
AREC,USA - Russell2000,0
AREB,USA - Russell2000,0
ARES,USA - Russell2000,0
ARHS,USA - Russell2000,0
ARKO,USA - Russell2000,0
ARKR,USA - Russell2000,0
ARMP,USA - Russell2000,0
ARNS,USA - Russell2000,0
AROC,USA - Russell2000,0
AROW,USA - Russell2000,0
ARQT,USA - Russell2000,0
ARRY,USA - Russell2000,0
ARTE,USA - Russell2000,0
ARTL,USA - Russell2000,0
ARTNA,USA - Russell2000,0
ARVN,USA - Russell2000,0
ARWR,USA - Russell2000,0
ASAX,USA - Russell2000,0
ASFI,USA - Russell2000,0
ASLE,USA - Russell2000,0
ASND,USA - Russell2000,0
ASPS,USA - Russell2000,0
ASRT,USA - Russell2000,0
ASRV,USA - Russell2000,0
ASTC,USA - Russell2000,0
ASTE,USA - Russell2000,0
ASUR,USA - Russell2000,0
ASYS,USA - Russell2000,0
ATAI,USA - Russell2000,0
ATEC,USA - Russell2000,0
ATEX,USA - Russell2000,0
ATGN,USA - Russell2000,0
ATHL,USA - Russell2000,0
ATHS,USA - Russell2000,0
ATLC,USA - Russell2000,0
ATLO,USA - Russell2000,0
ATMU,USA - Russell2000,0
ATNI,USA - Russell2000,0
ATNM,USA - Russell2000,0
ATOB,USA - Russell2000,0
ATOM,USA - Russell2000,0
ATOS,USA - Russell2000,0
ATRC,USA - Russell2000,0
ATRI,USA - Russell2000,0
ATRS,USA - Russell2000,0
ATSG,USA - Russell2000,0
ATTO,USA - Russell2000,0
ATXG,USA - Russell2000,0
ATXI,USA - Russell2000,0
ATXS,USA - Russell2000,0
AUID,USA - Russell2000,0
AUTL,USA - Russell2000,0
AVAV,USA - Russell2000,0
AVBH,USA - Russell2000,0
AVDL,USA - Russell2000,0
AVDX,USA - Russell2000,0
AVEO,USA - Russell2000,0
AVGR,USA - Russell2000,0
AVID,USA - Russell2000,0
AVIN,USA - Russell2000,0
AVIR,USA - Russell2000,0
AVNW,USA - Russell2000,0
AVPT,USA - Russell2000,0
AVRO,USA - Russell2000,0
AVTE,USA - Russell2000,0
AVTR,USA - Russell2000,0
AVXL,USA - Russell2000,0
AWRE,USA - Russell2000,0
AXDX,USA - Russell2000,0
AXGN,USA - Russell2000,0
AXNX,USA - Russell2000,0
AXSM,USA - Russell2000,0
AXTI,USA - Russell2000,0
AZUL,USA - Russell2000,0
AZYO,USA - Russell2000,0
BAND,USA - Russell2000,0
BANF,USA - Russell2000,0
BANR,USA - Russell2000,0
BATRA,USA - Russell2000,0
BATRK,USA - Russell2000,0
BBCP,USA - Russell2000,0
BBIO,USA - Russell2000,0
BBSI,USA - Russell2000,0
BCAB,USA - Russell2000,0
BCAL,USA - Russell2000,0
BCAT,USA - Russell2000,0
BCBP,USA - Russell2000,0
BCEL,USA - Russell2000,0
BCLI,USA - Russell2000,0
BCML,USA - Russell2000,0
BCOV,USA - Russell2000,0
BCPC,USA - Russell2000,0
BCRX,USA - Russell2000,0
BCSA,USA - Russell2000,0
BCTX,USA - Russell2000,0
BCYC,USA - Russell2000,0
BDNB,USA - Russell2000,0
BDSX,USA - Russell2000,0
BDTX,USA - Russell2000,0
BEAM,USA - Russell2000,0
BEAT,USA - Russell2000,0
BECN,USA - Russell2000,0
BELFB,USA - Russell2000,0
BFAM,USA - Russell2000,0
BFIN,USA - Russell2000,0
BFLY,USA - Russell2000,0
BFRI,USA - Russell2000,0
BGNE,USA - Russell2000,0
BGRY,USA - Russell2000,0
BGSF,USA - Russell2000,0
BHVN,USA - Russell2000,0
BIAF,USA - Russell2000,0
BIOL,USA - Russell2000,0
BKKT,USA - Russell2000,0
BKNG,USA - Russell2000,0
BKTI,USA - Russell2000,0
BLDE,USA - Russell2000,0
BLDP,USA - Russell2000,0
BLFS,USA - Russell2000,0
BLFY,USA - Russell2000,0
BLMN,USA - Russell2000,0
BLNK,USA - Russell2000,0
BLPH,USA - Russell2000,0
BLRX,USA - Russell2000,0
BLTE,USA - Russell2000,0
BLUE,USA - Russell2000,0
BLVI,USA - Russell2000,0
BMBL,USA - Russell2000,0
BMEA,USA - Russell2000,0
BMRC,USA - Russell2000,0
BMTC,USA - Russell2000,0
BNGO,USA - Russell2000,0
BNIX,USA - Russell2000,0
BNRG,USA - Russell2000,0
BODY,USA - Russell2000,0
BOLT,USA - Russell2000,0
BOOM,USA - Russell2000,0
BOOT,USA - Russell2000,0
BPMC,USA - Russell2000,0
BPOP,USA - Russell2000,0
BPRN,USA - Russell2000,0
BPTH,USA - Russell2000,0
BPYP,USA - Russell2000,0
BRBR,USA - Russell2000,0
BRBS,USA - Russell2000,0
BRDG,USA - Russell2000,0
BREY,USA - Russell2000,0
BRFS,USA - Russell2000,0
BRID,USA - Russell2000,0
BRLT,USA - Russell2000,0
BROG,USA - Russell2000,0
BRTX,USA - Russell2000,0
BRVI,USA - Russell2000,0
BSFC,USA - Russell2000,0
BSGM,USA - Russell2000,0
BSIG,USA - Russell2000,0
BSRR,USA - Russell2000,0
BSVN,USA - Russell2000,0
BTAI,USA - Russell2000,0
BTBT,USA - Russell2000,0
BTEL,USA - Russell2000,0
BTMD,USA - Russell2000,0
BTTX,USA - Russell2000,0
BTUS,USA - Russell2000,0
BURL,USA - Russell2000,0
BUSE,USA - Russell2000,0
BVNK,USA - Russell2000,0
BWFG,USA - Russell2000,0
BWMN,USA - Russell2000,0
BWXT,USA - Russell2000,0
BYFC,USA - Russell2000,0
BYRN,USA - Russell2000,0
BYSI,USA - Russell2000,0
CAAS,USA - Russell2000,0
CABO,USA - Russell2000,0
CABA,USA - Russell2000,0
CACI,USA - Russell2000,0
CADE,USA - Russell2000,0
CAKE,USA - Russell2000,0
CALB,USA - Russell2000,0
CALM,USA - Russell2000,0
CALX,USA - Russell2000,0
CAMP,USA - Russell2000,0
CANG,USA - Russell2000,0
CANO,USA - Russell2000,0
CARE,USA - Russell2000,0
CARG,USA - Russell2000,0
CARM,USA - Russell2000,0
CASA,USA - Russell2000,0
CASI,USA - Russell2000,0
CATO,USA - Russell2000,0
CBAN,USA - Russell2000,0
CBAT,USA - Russell2000,0
CBFV,USA - Russell2000,0
AFRM,USA - Nasdaq,0
AI,USA - Nasdaq,0
ALNY,USA - Nasdaq,0
APP,USA - Nasdaq,0
APPN,USA - Nasdaq,0
ASML,USA - Nasdaq,0
ASTS,USA - Nasdaq,0
ATVI,USA - Nasdaq,0
AZPN,USA - Nasdaq,0
BIDU,USA - Nasdaq,0
BILL,USA - Nasdaq,0
BMRN,USA - Nasdaq,0
BRZE,USA - Nasdaq,0
CDLX,USA - Nasdaq,0
CELH,USA - Nasdaq,0
CGNX,USA - Nasdaq,0
CHDN,USA - Nasdaq,0
CHKP,USA - Nasdaq,0
CHWY,USA - Nasdaq,0
CIEN,USA - Nasdaq,0
CLOV,USA - Nasdaq,0
COIN,USA - Nasdaq,0
COHR,USA - Nasdaq,0
CPNG,USA - Nasdaq,0
CRDO,USA - Nasdaq,0
CROX,USA - Nasdaq,0
CRS,USA - Nasdaq,0
CRSP,USA - Nasdaq,0
CRWD,USA - Nasdaq,0
CYBR,USA - Nasdaq,0
DASH,USA - Nasdaq,0
DDOG,USA - Nasdaq,0
DOCU,USA - Nasdaq,0
DOMO,USA - Nasdaq,0
DUOL,USA - Nasdaq,0
EBIX,USA - Nasdaq,0
ESTC,USA - Nasdaq,0
ETRN,USA - Nasdaq,0
EXAS,USA - Nasdaq,0
EXEL,USA - Nasdaq,0
EXLS,USA - Nasdaq,0
EXPO,USA - Nasdaq,0
FATE,USA - Nasdaq,0
FIVE,USA - Nasdaq,0
FIVN,USA - Nasdaq,0
FLEX,USA - Nasdaq,0
FORM,USA - Nasdaq,0
FOUR,USA - Nasdaq,0
FROG,USA - Nasdaq,0
FUTU,USA - Nasdaq,0
GBIO,USA - Nasdaq,0
GDRX,USA - Nasdaq,0
GLBE,USA - Nasdaq,0
GLPG,USA - Nasdaq,0
GLOB,USA - Nasdaq,0
GLPI,USA - Nasdaq,0
GLYC,USA - Nasdaq,0
GMED,USA - Nasdaq,0
GNTX,USA - Nasdaq,0
GOLF,USA - Nasdaq,0
GOOS,USA - Nasdaq,0
GRAB,USA - Nasdaq,0
GRFS,USA - Nasdaq,0
GRPN,USA - Nasdaq,0
GRWG,USA - Nasdaq,0
GTLB,USA - Nasdaq,0
GWRE,USA - Nasdaq,0
HALO,USA - Nasdaq,0
HIMS,USA - Nasdaq,0
HOOD,USA - Nasdaq,0
HRMY,USA - Nasdaq,0
HUBS,USA - Nasdaq,0
IDCC,USA - Nasdaq,0
IDEX,USA - Nasdaq,0
IESC,USA - Nasdaq,0
ILMN,USA - Nasdaq,0
INMD,USA - Nasdaq,0
IONS,USA - Nasdaq,0
IRTC,USA - Nasdaq,0
ITCI,USA - Nasdaq,0
ITRI,USA - Nasdaq,0
JAMF,USA - Nasdaq,0
JOBY,USA - Nasdaq,0
KALA,USA - Nasdaq,0
KALV,USA - Nasdaq,0
KARO,USA - Nasdaq,0
KLIC,USA - Nasdaq,0
KNSL,USA - Nasdaq,0
KROS,USA - Nasdaq,0
KRTX,USA - Nasdaq,0
KTOS,USA - Nasdaq,0
KYMR,USA - Nasdaq,0
LBRDA,USA - Nasdaq,0
LCII,USA - Nasdaq,0
LECO,USA - Nasdaq,0
LESL,USA - Nasdaq,0
LGIH,USA - Nasdaq,0
LGND,USA - Nasdaq,0
LHCG,USA - Nasdaq,0
LITE,USA - Nasdaq,0
LIVN,USA - Nasdaq,0
LMAT,USA - Nasdaq,0
LNTH,USA - Nasdaq,0
LPLA,USA - Nasdaq,0
LPSN,USA - Nasdaq,0
LQDT,USA - Nasdaq,0
LSTR,USA - Nasdaq,0
LUNA,USA - Nasdaq,0
LWAY,USA - Nasdaq,0
LYFT,USA - Nasdaq,0
LYRA,USA - Nasdaq,0
MARA,USA - Nasdaq,0
MASI,USA - Nasdaq,0
MAXN,USA - Nasdaq,0
MBLY,USA - Nasdaq,0
MDGL,USA - Nasdaq,0
MEDP,USA - Nasdaq,0
MELI,USA - Nasdaq,0
MGNI,USA - Nasdaq,0
MIRM,USA - Nasdaq,0
MLKN,USA - Nasdaq,0
MMSI,USA - Nasdaq,0
MNKD,USA - Nasdaq,0
MNMD,USA - Nasdaq,0
MNTV,USA - Nasdaq,0
MODN,USA - Nasdaq,0
MORN,USA - Nasdaq,0
MOTS,USA - Nasdaq,0
MRUS,USA - Nasdaq,0
MRVL,USA - Nasdaq,0
MSTR,USA - Nasdaq,0
MTSI,USA - Nasdaq,0
MYGN,USA - Nasdaq,0
MYOV,USA - Nasdaq,0
MYRG,USA - Nasdaq,0
NARI,USA - Nasdaq,0
NAUT,USA - Nasdaq,0
